Titre de l’article,Auteurs,Date de publication,Titre de la source,Mots-clés,Nombre de citations,DOI,Résumé,Type de document,issn
A weighted parameter identification PDE-constrained optimization for inverse image denoising problem,"Afraites, L ; Hadri, A ; Laghrib, A ; Nachaoui, M",AUG 2022,VISUAL COMPUTERarrow_drop_down, BILEVEL PROGRAMS ; MODEL ; FILTER Image restoration ; PDE-constrained ; Parameter identification ; Primal-dual ; Tensor diffusion,17,10.1007/s00371-021-02162-x,"This paper treats the inverse denoising problem which aims to compute simultaneously the clean image and the weighting parameter lambda. The formulated denoising problem is posed using a partial differential equation (PDE)-constrained optimization model. The minimized function imposes a Tikhonov regularization on the estimated lambda, while the proposed PDE encompasses two high-order diffusive tensors. The particularity of this PDE is that it does not over-smooth homogeneous regions and preserves sharp edges during the denoising process, even if its degree is high. A new optimization procedure to compute the weighting parameter is also elaborated inspired from the nonsmooth Primal-dual algorithm. This leads to control of the diffusivity rate generated by the two diffusive operators. Finally, expressive results show that the computed spatial parameter lambda leads to obtain a pleasant clean image. This is also confirmed by numerous comparisons with other competitive denoising approaches.",Article,0178-2789
An improved spatially controlled reaction-diffusion equation with a non-linear second order operator for image super-resolution,"Hadri, A ; Khalfi, H ; Laghrib, A ; Nachaoui, M",DEC 2021,NONLINEAR ANALYSIS-REAL WORLD APPLICATIONSarrow_drop_down, BILEVEL PROGRAMS ; REGULARIZATION ; DECOMPOSITION Multi-frame super-resolution ; Non-linear PDE ; Tensor diffusion,18,10.1016/j.nonrwa.2021.103352,"In this work, we introduce an efficient second-order reaction-diffusion (R.D.) equation for noise removal and image super-resolution. The main idea is to decompose the image into two components: cartoon and texture parts using a new spatially controlled diffusion obtained by incorporating into R.D. equation an anti-diffusion effect modelled by a space dependent parameter gamma. Hence, the proposed equation leads to a noticeable improvement in texture structure preservation. Moreover, we demonstrate an existence result of global solutions and analyse the asymptotic behaviour of the equation. Furthermore, an approximation of the sensitive parameter gamma is established using a learning optimization technique. As a result, the anti-diffusion parameter gamma can be efficiently computed to increase the quality of the restored image and preserve its texture. The proposed approach is tested and validated using multiple numerical experiments alongside a comparison with some competitive methods for a variety of applications including image de-noising, decomposition and super-resolution. (C) 2021 Elsevier Ltd. All rights reserved.",Article,1468-1218
A novel image denoising approach based on a non-convex constrained PDE: application to ultrasound images,"Hadri, A ; Afraites, L ; Laghrib, A ; Nachaoui, M",JUL 2021,SIGNAL IMAGE AND VIDEO PROCESSINGarrow_drop_down, TOTAL VARIATION MINIMIZATION ; DATA-FIDELITY ; RESTORATION ; NONSMOOTH Denoising ultrasound image ; Non-convex function ; Mixture noise ; Fractional-order PDE ; Primal-dual algorithm,18,10.1007/s11760-020-01831-z,"In this paper, we are interested in the mathematical and simulation study of a new non-convex constrained PDE to remove the mixture of Gaussian-impulse noise densities. The model incorporates a non-convex data-fidelity term with a fractional constrained PDE. In addition, we adopt a non-smooth primal-dual algorithm to resolve the obtained proximal linearized minimization problem. The non-convex fidelity term is used to handle the high-frequency of the impulse noise component, while the fractional operator enables the efficient denoising of smooth areas, avoiding also the staircasing effect that appears on the relevant variational denoising models. Moreover, the proposed primal-dual algorithm helps in preserving fine structures and texture with good convergence rate. Numerical experiments, including ultrasound images, show that the proposed non-convex constrained PDE produces better denoising results compared to the state-of-the-art denoising models.",Article,1863-1703
A high order PDE-constrained optimization for the image denoising problem,"Afraites, L ; Hadri, A ; Laghrib, A ; Nachaoui, M",DEC 2 2021,INVERSE PROBLEMS IN SCIENCE AND ENGINEERINGarrow_drop_down, VARIATIONAL APPROACH ; PARAMETER SELECTION ; REGULARIZATION ; RESTORATION ; MODEL ; TV ; MINIMIZATION Image restoration ; PDE-constrained ; parameter identification ; primal– ; dual algorithm ; tensor diffusion,25,10.1080/17415977.2020.1867547,"In the present work, we investigate the inverse problem of identifying simultaneously the denoised image and the weighting parameter that controls the balance between two diffusion operators for an evolutionary partial differential equation (PDE). The problem is formulated as a non-smooth PDE-constrained optimization model. This PDE is constructed by second- and fourth-order diffusive tensors that combines the benefits from the diffusion model of Perona-Malik in the homogeneous regions, the Weickert model near sharp edges and the fourth-order term in reducing staircasing. The existence and uniqueness of solutions for the proposed PDE-constrained optimization system are provided in a suitable Sobolev space. Also, an optimization problem for the determination of the weighting parameter is introduced based on the Primal-Dual algorithm. Finally, simulation results show that the obtained parameter usually coincides with the better choice related to the best restoration quality of the image.",Article,1741-5977
Multiscale computational method for nonlinear heat transmission problem in periodic porous media,"Chakib, A ; Hadri, A ; Nachaoui, A ; Nachaoui, M",APR 2020,APPLIED NUMERICAL MATHEMATICSarrow_drop_down, DYNAMIC THERMOMECHANICAL PROBLEMS ; COMPOSITE STRUCTURES ; SMOLDERING COMBUSTION ; CONDUCTION PROBLEMS ; HOMOGENIZATION ; CONFIGURATIONS ; RADIATION Multiscale asymptotic expansion ; Composite medium ; Finite element approximation ; Nonlinear parabolic coupled problem ; Correctors,3,10.1016/j.apnum.2019.09.015,"This paper deals with multiscale analysis, by using the correctors, of a nonlinear heat transmission problem in a periodic microscopic structure with multiple components. The occurring nonlinearity is related to the flux condition at the interface between the two parts of the medium. In this work, we present first the multiscale asymptotic expansion of the solution for this kind of problems and the strong convergence of the asymptotic expansion to the solution of the multiscale model. Then, we introduce a numerical algorithm based on the multiscale method for solving this problem. Finally, in order to confirm the efficiency of the proposed algorithm, some numerical results obtained through finite element approximations are presented. (C) 2019 IMACS. Published by Elsevier B.V. All rights reserved.",Article,0168-9274
A denoising model adapted for impulse and Gaussian noises using a constrained-PDE,"Afraites, L ; Hadri, A ; Laghrib, A",FEB 2020,INVERSE PROBLEMSarrow_drop_down, TOTAL VARIATION MINIMIZATION ; DATA-FIDELITY ; VARIATION REGULARIZATION ; INFIMAL CONVOLUTION ; NEWTON METHODS ; NONSMOOTH ; RESTORATION ; DIFFUSION ; IMAGES ; DECONVOLUTION denoising of images ; minimization of L-1 and L-2 ; primal-dual algorithm ; Bregman iteration ; impulse and Gaussian noises,25,10.1088/1361-6420/ab5178,"In denoising problems, it is always hard to deal with a mixture of two noise densities. In this paper, we introduce a nonlinear constrained-PDE based on the fractional order tensor diffusion to approximate the clean image and also the impulse component in a mixture of Gaussian and impulse noise. Our model offers an ideal compromise between the edge preservation, staircasing creation and the loss of image contrasts. The proposed constrained-PDE is formulated using a variational model that features a L-1 data discrepancy encoding the impulse noise and an L-2 term of the clean image, which is a solution of a high-order PDE. Then, a rigorous analysis of the existence of the solution to the proposed model is checked in a suitable functional framework. In addition, to solve the constrained-PDE, we consider an extension of the primal-dual algorithm to nonlinear operators with an accelerate Bregman iteration. Numerical experiments show that the proposed model produces pleasant results in terms of restoration quality and solution efficiency compared to some competitive regularizations.",Article,0266-5611
On a multiscale analysis of an inverse problem of nonlinear transfer law identification in periodic microstructure,"Chakib, A ; Hadri, A ; Laghrib, A",FEB 2020,NONLINEAR ANALYSIS-REAL WORLD APPLICATIONSarrow_drop_down, UNFOLDING METHOD ; HOMOGENIZATION ; DOMAINS Homogenization ; Inverse problem ; Leray-Schauder topological degrees,4,10.1016/j.nonrwa.2019.102985,"This paper is devoted to the multiscale analysis of a homogenization inverse problem of the heat exchange law identification, which is governed by parabolic equations with nonlinear transmission conditions in a periodic heterogeneous medium. The aim of this work is to transform this inverse problem with nonlinear transmission conditions into a new one governed by a less complex nonlinear parabolic equation, while preserving the same form and physical properties of the heat exchange law that it will be identified, based on periodic homogenization theory. For this, we reformulate first the encountered homogenization inverse problem to an optimal control one. Then, we study the well-posedness of the state problem using the Leray-Schauder topological degrees and we also check the existence of the solution for the obtained optimal control problem. Finally, using the periodic homogenization theory and priori estimates, with justified choise of test functions, we reduce our inverse problem to a less complex one in a homogeneous medium. (C) 2019 Elsevier Ltd. All rights reserved.",Article,1468-1218
A NONLINEAR FOURTH-ORDER PDE FOR MULTI-FRAME IMAGE SUPER-RESOLUTION ENHANCEMENT,"Laghrib, A ; Chakib, A ; Hadri, A ; Hakim, A",JAN 2020,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES Barrow_drop_down, PARTIAL-DIFFERENTIAL-EQUATIONS ; BOUNDARY-VALUE-PROBLEMS ; POSITIVE SOLUTIONS ; EDGE-DETECTION ; RECONSTRUCTION ; REGULARIZATION ; DIFFUSION ; REGISTRATION ; EXISTENCE ; ALGORITHM Multi-frame super-resolution ; fourth-order PDE ; fixed point theorem ; tensor diffusion,12,10.3934/dcdsb.2019188,"The multiframe super-resolution (SR) techniques are considered as one of the active research fields. More precisely, the construction of the desired high resolution (HR) image with less artifacts in the SR models, which are always ill-posed problems, requires a great care. In this paper, we propose a new fourth-order equation based on a diffusive tensor that takes the benefit from the diffusion model of Perona-Malik in the flat regions and the Weickert model near boundaries with a high diffusion order. As a result, the proposed SR approach can efficiently preserve image features such as corner and texture much better with less blur near edges. The existence and uniqueness of the proposed partial differential equation (PDE) are also demonstrated in an appropriate functional space. Finally, the given experimental results show the effectiveness of the proposed PDE compared to some competitive methods in both visually and quantitatively.",Article,1531-3492
A new multiframe super-resolution based on nonlinear registration and a spatially weighted regularization,"Laghrib, A ; Hadri, A ; Hakim, A ; Raghay, S",AUG 2019,INFORMATION SCIENCESarrow_drop_down, ADAPTIVE REGULARIZATION ; IMAGE SUPERRESOLUTION ; RECONSTRUCTION ; RESOLUTION ; MOTION Super-resolution ; Spatially weighted ; Hyperelastic registration ; Variational regularization,23,10.1016/j.ins.2019.04.029,"Increasing the size of an image is an extensively studied problem in image processing. In recent years, many studies have been conducted on image super-resolution (SR). Since the super-resolution techniques depend on the motion precision estimation, we investigate the use of a nonlinear elastic (called hyperelastic) image registration. Also, we propose a spatially weighted second order SR algorithm, which takes into account the distribution of the spatial information in different image areas. The hyperelastic image registration is used to handle the subpixel errors between the unregistered images, while the spatially weighted second order regularization allows to increase the robustness of the restoration step with respect to degradation factors (blur and noise). As a result, the registration model is more efficient and easier to implement and the proposed SR algorithm reduces artifacts in flat regions of the image and also preserves well sharp edges. The efficiency of the proposed model is demonstrated using simulated and real tests, while comparison with other competitive SR methods is achieved. (C) 2019 Elsevier Inc. All rights reserved.",Article,0020-0255
An edge preserving high-order PDE for multiframe image super-resolution,"Laghrib, A ; Hadri, A ; Hakim, A",JUL 2019,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICSarrow_drop_down, PARTIAL-DIFFERENTIAL-EQUATIONS ; RECONSTRUCTION ; REGULARIZATION ; REGISTRATION ; REGRESSION ; DIFFUSION ; MODEL,27,10.1016/j.jfranklin.2019.02.032,"The multiframe image super-resolution (SR) has appeal great care due to its relevant practical applications. Since the SR methods are always considered as ill-posed problems, great interest is therefore investigated to reconstruct an image with less artefacts. In this paper, we propose a high-order partial differential equation (PDE) that preserve singularities and edge continuities while smoothing. This PDE is based on anisotropic diffusion behavior by adding some constraints to the Weickert coherence enhancing diffusion tensor in order to control the diffusion process near edges and avoids tiny corners destruction. In fact, this PDE combine between the diffusion process of Perona-Malik in the flat regions and the anisotropic diffusion of the Weickert model near strong edges. Moreover, the introduction of the high-order derivatives reduces unwanted artifacts such as staircasing. The given experimental results show the effectiveness of the proposed PDE compared to some competitive methods in both visually and quantitatively. (C) 2019 The Franklin Institute. Published by Elsevier Ltd. All rights reserved.",Article,0016-0032
A nonconvex fractional order variational model for multi-frame image super-resolution,"Laghrib, A ; Ben-Loghfyry, A ; Hadri, A ; Hakim, A",SEP 2018,SIGNAL PROCESSING-IMAGE COMMUNICATIONarrow_drop_down, SUPER RESOLUTION ; NOISE REMOVAL ; BREGMAN ITERATION ; RECONSTRUCTION ; REGULARIZATION ; REGISTRATION ; RESTORATION ; DIFFUSION Multi-frame super-resolution ; Nonconvex fidelity term ; Fractional order regularization ; Optimization,37,10.1016/j.image.2018.05.011,"The multi-frame super-resolution(SR) aims to recover a high-resolution (HR) image from a degraded low resolution (LR) sequence. Since the SR problem is considered as an ill-posed one, the regularization techniques are then inevitable. However, the choice of the fidelity and regularization terms is not easy and plays a major role in the quality of the desired HR image. In this paper, we propose a new nonconvex data fitting term and a fractional total variation regularization term for image super-resolution. The proposed model differs from existing image variational SR models where the fidelity term is always derived from the L-1 or L-2- norm, and the regularization term is based on a widely choice of convex and nonconvex functions. The use of the nonconvex data fitting term can efficiently reduce complex noises such as impulse noise while the fractional order regularization term preserves image features like edges and texture much better. Numerical experiments show that the proposed model can produce competitive results, visually and quantitatively, compared to some available variational SR models.",Article,0923-5965
Homogenization of parabolic problem with nonlinear transmission condition,"Chakib, A ; Hadri, A ; Nachaoui, A ; Nachaoui, M",OCT 2017,NONLINEAR ANALYSIS-REAL WORLD APPLICATIONSarrow_drop_down, COMBUSTION ; MODEL Homogenization ; Nonlinear parabolic coupled problem ; Heat transfer ; Composite medium ; Two scale convergence,1,10.1016/j.nonrwa.2017.03.004,"In this paper, we investigate the periodic homogenization of nonlinear parabolic equation arising from heat exchange in composite material problems. This problem, defined in periodical domain, is nonlinear at the interface. This nonlinearity models the heat radiation on the interface, which constitutes the transmission boundary conditions, between the two components of the material. The main challenge is, first, to show the well-posedness of the microscopic problem using the topological degree of Leray-Schauder tools. Then, we apply the two scale convergence to identify the equivalent macroscopic model using homogenization techniques. Finally, in order to confirm the efficiency of the homogenization process, we present some numerical results obtained via finite element approximation. (C) 2017 Elsevier Ltd. All rights reserved.",Article,1468-1218
Homogenization of parabolic nonlinear coupled problem in heat exchange,"Chakib, A ; Hadri, A ; Nachaoui, A ; Nachaoui, M",JUN 2015,ANNALS OF THE UNIVERSITY OF CRAIOVA-MATHEMATICS AND COMPUTER SCIENCE SERIESarrow_drop_down, Homogenization ; Nonlinear parabolic coupled problem ; Heat transfer ; Composite medium ; Stokes equation ; Two scale convergence,1,,"This work deals with the homogenization of heat transfer nonlinear parabolic problem in a periodic composite medium consisting in two-component (fluid/solid). This problem presents some difficulties due to the presence of a nonlinear Neumann condition modeling a radiative heat transfer on the interface between the two parts of the medium and to the fact that the problem is strongly coupled. In order to justify rigorously the homogenization process, we use two scale convergence. For this, we show first the existence and uniqueness of the homogenization problem by topological degree of Leray-Schauder, Then we establish the two scale convergence, and identify the limit problems.",Article,1223-6934
Parabolic systems driven by general differential operators with variable exponents and strong nonlinearities with respect to the gradient,"Fahim, H ; Charkaoui, A ; Alaa, NE",JUN 2021,JOURNAL OF ELLIPTIC AND PARABOLIC EQUATIONSarrow_drop_down, WEAK PERIODIC-SOLUTION ; EXISTENCE ; EQUATION ; GROWTH Variable exponent ; Quasilinear systems ; Super-solutions ; Weak solutions,10,10.1007/s41808-021-00101-4,"We consider a class of nonlinear parabolic systems driven by Leray-Lions operators with p(x)-growth conditions and strong nonlinearity with respect to the gradients. Under the assumption that a nonnegative weak super-solutions is known, we prove the existence of nonnegative weak solutions to the considered systems.",Article,2296-9020
AN EFFICIENT IDENTIFICATION OF RED BLOOD CELL EQUILIBRIUM SHAPE USING NEURAL NETWORKS,"Fahim, H ; Sawadogo, OW ; Alaa, N ; Guedda, M",2021,EURASIAN JOURNAL OF MATHEMATICAL AND COMPUTER APPLICATIONSarrow_drop_down, MEMBRANES ; ENERGY ; MODEL Red blood cell shape ; Curvature elasticity energy ; thickness distribution ; inverse problem ; PSOGSANNA Algorithm,1,10.32523/2306-6172-2021-9-2-39-56,"This work of applied mathematics with interfaces in bio-physics focuses on the shape identification and numerical modelisation of a single red blood cell shape. The purpose of this work is to provide a quantitative method for interpreting experimental observations of the red blood cell shape under microscopy. In this paper we give a new formulation based on classical theory of geometric shape minimization which assumes that the curvature energy with additional constraints controls the shape of the red blood cell. To minimize this energy under volume and area constraints, we propose a new hybrid algorithm which combines Particle Swarm Optimization (PSO), Gravitational Search (GSA) and Neural Network Algorithm (NNA). The results obtained using this new algorithm agree well with the experimental results given by Evans et al. (8) especially for sphered and biconcave shapes.",Article,2306-6172
NONLINEAR PARABOLIC EQUATION HAVING NONSTANDARD GROWTH CONDITION WITH RESPECT TO THE GRADIENT AND VARIABLE EXPONENT,"Charkaoui, A ; Fahim, H ; Alaa, NE",2021,OPUSCULA MATHEMATICAarrow_drop_down, WEAK PERIODIC-SOLUTION ; RENORMALIZED SOLUTIONS ; EXISTENCE ; MODEL variable exponent ; quasilinear equation ; Schaeffer's fixed point ; subsolution ; supersolution ; weak solution,16,10.7494/OpMath.2021.41.1.25,"We are concerned with the existence of solutions to a class of quasilinear parabolic equations having critical growth nonlinearity with respect to the gradient and variable exponent. Using Schaeffer's fixed point theorem combined with the sub- and supersolution method, we prove the existence results of a weak solutions to the considered problems.",Article,1232-9274
Geometric shape optimization of membrane in the presence of a diffusion field,"Fahim, H ; Alaa, NE ; Misbah, C",JUN 2019,ANNALS OF THE UNIVERSITY OF CRAIOVA-MATHEMATICS AND COMPUTER SCIENCE SERIESarrow_drop_down, Geometrical shape optimisation ; Membrane in the presence of diffusion ; Existance of the optimal shape ; Leval-Set Method,0,,"In this work we study the geometric shape optimization of membrane in the presence of a diffusion field of molecules, such as proteins which have the ability to adsorb on, and to desorb from the membrane. The main idea of this study is to vary the position of the boundaries of a given initial shape of the membrane, without changing its topology which remains the same as the initial shape. We develop a model that includes, molecular diffusion along the membrane as well as the attachment and detachment of molecules to and from the membrane. The numerical simulations based on Level-Set method show that the coupling between the membrane and the molecules makes the membrane suffer from morphological instability.",Article,1223-6934
Mathematical analysis of a modified Weikert system for image enhancement,"Khalfi, H ; Fahim, H ; Alaa, NE",JUN 2019,ANNALS OF THE UNIVERSITY OF CRAIOVA-MATHEMATICS AND COMPUTER SCIENCE SERIESarrow_drop_down, DIFFUSION Reaction diffusion systems ; Image Restoration ; parabolic systems ; nonlinear partial differential equations ; Schauder fixed point ; duality method,1,,"This paper tackles the problem of proving global existence for an abstract nonlinear Reaction-Diffusion system inspired by the famous Weickert model [16]. We show the existence of a global weak solution to a truncated version of the proposed system using a fixed point approach. Then, we establish some crucial estimates under Quasi-positivity and a Triangular Structure condition on the nonlinearities [3]. On passage to the limit, we recover the original system and prove the existence for only integrable nonlinearities and initial conditions.",Article,1223-6934
On the existence of global weak solutions to a generalized Keller Segel model with arbitrary growth and nonlinear signal production,"Lefraich, H ; Taourirte, L ; Khalfi, H ; Alaa, NE",JUN 2019,ANNALS OF THE UNIVERSITY OF CRAIOVA-MATHEMATICS AND COMPUTER SCIENCE SERIESarrow_drop_down, CHEMOTAXIS SYSTEM ; AGGREGATION ; BOUNDEDNESS Keller-Segel model ; nonlinear coupled system ; cell motion ; chemotaxis,1,,"In this work we present the mathematical analysis of a system able to describe the biological chemotaxis phenomena. The proposed model is a modification of the classical Keller Segel model and its subsequent developments, which, in many cases, have been developed to obtain models that prevent the non-physical blow up of solutions. We are concerned with the global existence in L2(Omega) of weak global solutions to a class of parabolic-elliptic chemotaxis systems encompassing the prototype
ut - del.(del u - chi u del v) = f(x), x is an element of Omega, t > 0,
-Delta v + v = u(gamma), x is an element of Omega, t > 0,
with nonnegative initial condition for u and no flux boundary conditions in a bounded domain Omega subset of Rn (n >= 2), where chi > 0, 0 < gamma < 1 and f is an element of C-1(R) satisfying, f(0) = 0 and
f(s) <= 0, s >= 0.
It is shown under those conditions that the problem admits weak solutions in L-2(Omega). In order to develop the mathematical analysis of our model, we define an approximating scheme with more regular initial conditions, then we make some estimations that will allow us to prove that the solution of the approximated system converge to the solution of our problem.",Article,1223-6934
A second-generation computational modeling of cardiac electrophysiology: response of action potential to ionic concentration changes and metabolic inhibition,"Alaa, NE ; Lefraich, H ; El Malki, I",OCT 21 2014,THEORETICAL BIOLOGY AND MEDICAL MODELLINGarrow_drop_down, KINETICS Cardiac action potential ; Cable equation ; Reaction-diffusion system ; Electro-migration ; Nonlinear coupled system ; Finite element method ; Nernst-Planck equation ; Numerical analysis ; Substrate suicide ; Computational simulation,1,10.1186/1742-4682-11-46,"Background: Cardiac arrhythmias are becoming one of the major health care problem in the world, causing numerous serious disease conditions including stroke and sudden cardiac death. Furthermore, cardiac arrhythmias are intimately related to the signaling ability of cardiac cells, and are caused by signaling defects. Consequently, modeling the electrical activity of the heart, and the complex signaling models that subtend dangerous arrhythmias such as tachycardia and fibrillation, necessitates a quantitative model of action potential (AP) propagation. Yet, many electrophysiological models, which accurately reproduce dynamical characteristic of the action potential in cells, have been introduced. However, these models are very complex and are very time consuming computationally. Consequently, a large amount of research is consecrated to design models with less computational complexity.
Results: This paper is presenting a new model for analyzing the propagation of ionic concentrations and electrical potential in space and time. In this model, the transport of ions is governed by Nernst-Planck flux equation (NP), and the electrical interaction of the species is described by a new cable equation. These set of equations form a system of coupled partial nonlinear differential equations that is solved numerically. In the first we describe the mathematical model. To realize the numerical simulation of our model, we proceed by a finite element discretization and then we choose an appropriate resolution algorithm.
Conclusions: We give numerical simulations obtained for different input scenarios in the case of suicide substrate reaction which were compared to those obtained in literature. These input scenarios have been chosen so as to provide an intuitive understanding of dynamics of the model. By accessing time and space domains, it is shown that interpreting the electrical potential of cell membrane at steady state is incorrect. This model is general and applies to ions of any charge in space and time domains. The results obtained show a complete agreement with literature findings and also with the physical interpretation of the phenomenon. Furthermore, various numerical experiments are presented to confirm the accuracy, efficiency and stability of the proposed method. In particular, we show that the scheme is second-order accurate in space.",Article,1742-4682
Computational simulation of a new system modelling ions electromigration through biological membranes,"Alaa, N ; Lefraich, H",SEP 5 2013,THEORETICAL BIOLOGY AND MEDICAL MODELLINGarrow_drop_down, KINETICS Reaction-diffusion system ; Electromigration ; Nonlinear coupled system ; Finite element method ; Nernst-Planck equations ; Numerical analysis ; Enzyme kinetics ; Substrate suicide ; Cooperative phenomena ; Computational simulation,2,10.1186/1742-4682-10-51,"Background: The interest in cell membrane has grown drastically for their important role as controllers of biological functions in health and illness. In fact most important physiological processes are intimately related to the transport ability of the membrane, such as cell adhesion, cell signaling and immune defense. Furthermore, ion migration is connected with life-threatening pathologies such as metastases and atherosclerosis. Consequently, a large amount of research is consecrated to this topic. To better understand cell membranes, more accurate models of ionic flux are required and also their computational simulations.
Results: This paper is presenting the numerical simulation of a more general system modelling ion migration through biological membranes. The model includes both the effects of biochemical reaction between ions and fixed charges. The model is a nonlinear coupled system. In the first we describe the mathematical model. To realize the numerical simulation of our model, we proceed by a finite element discretisation and then by choosing an appropriate resolution algorithm to the nonlinearities.
Conclusions: We give numerical simulations obtained for different popular models of enzymatic reaction which were compared to those obtained in literature on systems of ordinary differential equations. The results obtained show a complete agreement between the two modellings. Furthermore, various numerical experiments are presented to confirm the accuracy, efficiency and stability of the proposed method. In particular, we show that the scheme is unconditionally stable and second-order accurate in space.",Article,1742-4682
A robust family of exponential attractors for a linear time discretization of the Cahn-Hilliard equation with a source term,"Dor, D ; Pierre, M",SEP 23 2024,ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSISarrow_drop_down, STATIONARY STATISTICAL PROPERTIES ; ASYMPTOTIC-BEHAVIOR ; APPROXIMATION ; SYSTEM Cahn-Hilliard equation ; source term ; exponential attractor ; global attractor ; IMEX scheme,0,10.1051/m2an/2024061,"We consider a linear implicit-explicit (IMEX) time discretization of the Cahn-Hilliard equation with a source term, endowed with Dirichlet boundary conditions. For every time step small enough, we build an exponential attractor of the discrete-in-time dynamical system associated to the discretization. We prove that, as the time step tends to 0, this attractor converges for the symmetric Hausdorff distance to an exponential attractor of the continuous-in-time dynamical system associated with the PDE. We also prove that the fractal dimension of the exponential attractor (and consequently, of the global attractor) is bounded by a constant independent of the time step. The results also apply to the classical Cahn-Hilliard equation with Neumann boundary conditions.",Article,2822-7840
Three remarks on the convergence of some discretized second order gradient-like systems,"Jendoubi, MA ; Pierre, M",SEP 2024,NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONSarrow_drop_down, DESCENT METHODS ; EQUILIBRIUM ; ALGORITHM Descent methods ; Real analytic functions ; Lojasiewicz gradient inequality ; Single limit-point convergence ; Stability ; Variable time-step discretization ; Explicit scheme,0,10.1007/s00030-024-00974-z,"We study several discretizations of a second order gradient-like system with damping. We first consider an explicit scheme with a linear damping in finite dimension. We prove that every solution converges if the nonlinearity satisfies a global Lojasiewicz inequality. Convergence rates are also established. In the case of a strong nonlinear damping, we prove convergence of every solution for a fully implicit scheme in the one-dimensional case, even if the nonlinearity does not satisfy a Lojasiewicz inequality. The optimality of the damping is also established. Numerical simulations illustrate the theoretical results.",Article,1021-9722
Hyperbolic relaxation of the viscous Cahn-Hilliard equation with a symport term for biological applications,"Dor, D ; Miranville, A ; Pierre, M",MAY 15 2024,MATHEMATICAL METHODS IN THE APPLIED SCIENCESarrow_drop_down, EXPONENTIAL ATTRACTORS ; SINGULAR PERTURBATIONS ; SPINODAL DECOMPOSITION ; MODEL ; APPROXIMATION ; TRANSITION ; EVOLUTION Cahn-Hilliard equations ; global attractors ; numerical stability ; robust exponential attractors ; simulations ; symport term,1,10.1002/mma.9904,"We consider the hyperbolic relaxation of the viscous Cahn-Hilliard equation with a symport term. This equation is characterized by the presence of the additional inertial term tau D phi tt$$ {\tau}_D{\phi}_{tt} $$ that accounts for the relaxation of the diffusion flux. We suppose that tau D$$ {\tau}_D $$ is dominated by the viscosity coefficient delta$$ \delta $$. Endowing the equation with Dirichlet boundary conditions, we show that it generates a dissipative dynamical system acting on a certain phase-space, depending on tau D$$ {\tau}_D $$. This system is shown to possess a global attractor that is upper semicontinuous at tau D=delta=0$$ {\tau}_D equal to \delta equal to 0 $$. Then, we construct a family of exponential attractors I tau D,delta$$ {\Im}_{\tau_D,\delta } $$ which is a robust perturbation of an exponential attractor of the Cahn-Hilliard equation; namely, the symmetric Hausdorff distance between I tau D,delta$$ {\Im}_{\tau_D,\delta } $$ and I0,0$$ {\Im}_{0,0} $$ tends to 0 as (tau D,delta)$$ \left({\tau}_D,\delta \right) $$ tends to (0,0)$$ \left(0,0\right) $$ in an explicitly controlled way. Finally, we present numerical simulations of the time evolution of weak solutions as a function of parameters.",Article,0170-4214
Robust optimal ship hulls based on Michell's wave resistance,"Zerrouq, SE ; Pierre, M",JAN 30 2024,MATHEMATICAL METHODS IN THE APPLIED SCIENCESarrow_drop_down, Dirichlet energy ; geometric shape optimization ; lumped mass matrix ; Michell's wave resistance ; Newton's method ; probability distribution ; robust deterministic control,0,10.1002/mma.9693,"We seek the hull of a ship with a given volume which minimizes the water resistance with uncertainties on the cruising speed. The water resistance is based on Michell's wave resistance functional, and the speed is a random variable whose probability distribution is known. We first handle the case where the support of the hull is given and then we also optimize this support for a given area. In each case, an optimal hull is shown to exist. The numerical simulations are costly so we adapt to our problem Newton's method for shape optimization. The Dirichlet energy is used as a test case. The numerical results for the robust optimal hull are compared with the case where the cruising speed is known.",Article,0170-4214
Maximum time step for high order BDF methods applied to gradient flows,"Pierre, M",NOV 2022,CALCOLOarrow_drop_down, BACKWARD EULER SCHEME ; ENERGY TECHNIQUE ; CONVERGENCE ; EQUILIBRIUM ; DISCRETIZATION ; STABILITY ; EQUATIONS ; CAHN Gradient flow ; BDF method ; Semiconvex function ; Lasalle's invariance principle ; Lojasiewicz inequality ; Allen-Cahn equation,0,10.1007/s10092-022-00479-0,"For a backward differentiation formula (BDF) applied to the gradient flow of a semiconvex function, quadratic stability implies gradient stability. Namely, it is possible to build a Lyapunov functional for the discrete-in-time dynamical system, with a restriction on the time step. The maximum time step which can be derived from quadratic stability has previously been obtained for the BDF1, BDF2 and BDF3 schemes. Here, we compute it for the BDF4 and BDF5 methods. We also prove that the BDF6 scheme is not quadratically stable. Our results are based on the tools developed by Dahlquist and other authors to show the equivalence of A-stability and G-stability. We give several applications of gradient stability to the asymptotic behaviour of sequences generated by BDF schemes.",Article,0008-0624
