Titre de l’article,Mots-clés,Résumé,issn,Titre de journal,sjr_score
Nonlinear parabolic equation having nonstandard growth condition with respect to the gradient and variable exponent," weak periodic-solution , renormalized solutions , existence , model variable exponent , quasilinear equation , schaeffer's fixed point , subsolution , supersolution , weak solution","We are concerned with the existence of solutions to a class of quasilinear parabolic equations having critical growth nonlinearity with respect to the gradient and variable exponent. using schaeffer's fixed point theorem combined with the sub- and supersolution method, we prove the existence results of a weak solutions to the considered problems.",12329274,Opuscula mathematica,0.437
Geometric shape optimization of membrane in the presence of a diffusion field," geometrical shape optimisation , membrane in the presence of diffusion , existance of the optimal shape , leval-set method","In this work we study the geometric shape optimization of membrane in the presence of a diffusion field of molecules, such as proteins which have the ability to adsorb on, and to desorb from the membrane. the main idea of this study is to vary the position of the boundaries of a given initial shape of the membrane, without changing its topology which remains the same as the initial shape. we develop a model that includes, molecular diffusion along the membrane as well as the attachment and detachment of molecules to and from the membrane. the numerical simulations based on level-set method show that the coupling between the membrane and the molecules makes the membrane suffer from morphological instability.",12236934,Annals of the university of craiova-mathematics and computer science series,0.259
Mathematical analysis of a modified weikert system for image enhancement," diffusion reaction diffusion systems , image restoration , parabolic systems , nonlinear partial differential equations , schauder fixed point , duality method","This paper tackles the problem of proving global existence for an abstract nonlinear reaction-diffusion system inspired by the famous weickert model [16]. we show the existence of a global weak solution to a truncated version of the proposed system using a fixed point approach. then, we establish some crucial estimates under quasi-positivity and a triangular structure condition on the nonlinearities [3]. on passage to the limit, we recover the original system and prove the existence for only integrable nonlinearities and initial conditions.",12236934,Annals of the university of craiova-mathematics and computer science series,0.259
A second-generation computational modeling of cardiac electrophysiology: response of action potential to ionic concentration changes and metabolic inhibition," kinetics cardiac action potential , cable equation , reaction-diffusion system , electro-migration , nonlinear coupled system , finite element method , nernst-planck equation , numerical analysis , substrate suicide , computational simulation","Background: cardiac arrhythmias are becoming one of the major health care problem in the world, causing numerous serious disease conditions including stroke and sudden cardiac death. furthermore, cardiac arrhythmias are intimately related to the signaling ability of cardiac cells, and are caused by signaling defects. consequently, modeling the electrical activity of the heart, and the complex signaling models that subtend dangerous arrhythmias such as tachycardia and fibrillation, necessitates a quantitative model of action potential (ap) propagation. yet, many electrophysiological models, which accurately reproduce dynamical characteristic of the action potential in cells, have been introduced. however, these models are very complex and are very time consuming computationally. consequently, a large amount of research is consecrated to design models with less computational complexity.
results: this paper is presenting a new model for analyzing the propagation of ionic concentrations and electrical potential in space and time. in this model, the transport of ions is governed by nernst-planck flux equation (np), and the electrical interaction of the species is described by a new cable equation. these set of equations form a system of coupled partial nonlinear differential equations that is solved numerically. in the first we describe the mathematical model. to realize the numerical simulation of our model, we proceed by a finite element discretization and then we choose an appropriate resolution algorithm.
conclusions: we give numerical simulations obtained for different input scenarios in the case of suicide substrate reaction which were compared to those obtained in literature. these input scenarios have been chosen so as to provide an intuitive understanding of dynamics of the model. by accessing time and space domains, it is shown that interpreting the electrical potential of cell membrane at steady state is incorrect. this model is general and applies to ions of any charge in space and time domains. the results obtained show a complete agreement with literature findings and also with the physical interpretation of the phenomenon. furthermore, various numerical experiments are presented to confirm the accuracy, efficiency and stability of the proposed method. in particular, we show that the scheme is second-order accurate in space.",17424682,Theoretical biology and medical modelling,0.303
A robust family of exponential attractors for a linear time discretization of the cahn-hilliard equation with a source term," stationary statistical properties , asymptotic-behavior , approximation , system cahn-hilliard equation , source term , exponential attractor , global attractor , imex scheme","We consider a linear implicit-explicit (imex) time discretization of the cahn-hilliard equation with a source term, endowed with dirichlet boundary conditions. for every time step small enough, we build an exponential attractor of the discrete-in-time dynamical system associated to the discretization. we prove that, as the time step tends to 0, this attractor converges for the symmetric hausdorff distance to an exponential attractor of the continuous-in-time dynamical system associated with the pde. we also prove that the fractal dimension of the exponential attractor (and consequently, of the global attractor) is bounded by a constant independent of the time step. the results also apply to the classical cahn-hilliard equation with neumann boundary conditions.",28227840,Esaim-mathematical modelling and numerical analysis,1.247
Three remarks on the convergence of some discretized second order gradient-like systems," descent methods , equilibrium , algorithm descent methods , real analytic functions , lojasiewicz gradient inequality , single limit-point convergence , stability , variable time-step discretization , explicit scheme","We study several discretizations of a second order gradient-like system with damping. we first consider an explicit scheme with a linear damping in finite dimension. we prove that every solution converges if the nonlinearity satisfies a global lojasiewicz inequality. convergence rates are also established. in the case of a strong nonlinear damping, we prove convergence of every solution for a fully implicit scheme in the one-dimensional case, even if the nonlinearity does not satisfy a lojasiewicz inequality. the optimality of the damping is also established. numerical simulations illustrate the theoretical results.",10219722,Nodea-nonlinear differential equations and applications,0.983
Hyperbolic relaxation of the viscous cahn-hilliard equation with a symport term for biological applications," exponential attractors , singular perturbations , spinodal decomposition , model , approximation , transition , evolution cahn-hilliard equations , global attractors , numerical stability , robust exponential attractors , simulations , symport term","We consider the hyperbolic relaxation of the viscous cahn-hilliard equation with a symport term. this equation is characterized by the presence of the additional inertial term tau d phi tt$$ {\tau}_d{\phi}_{tt} $$ that accounts for the relaxation of the diffusion flux. we suppose that tau d$$ {\tau}_d $$ is dominated by the viscosity coefficient delta$$ \delta $$. endowing the equation with dirichlet boundary conditions, we show that it generates a dissipative dynamical system acting on a certain phase-space, depending on tau d$$ {\tau}_d $$. this system is shown to possess a global attractor that is upper semicontinuous at tau d=delta=0$$ {\tau}_d equal to \delta equal to 0 $$. then, we construct a family of exponential attractors i tau d,delta$$ {\im}_{\tau_d,\delta } $$ which is a robust perturbation of an exponential attractor of the cahn-hilliard equation; namely, the symmetric hausdorff distance between i tau d,delta$$ {\im}_{\tau_d,\delta } $$ and i0,0$$ {\im}_{0,0} $$ tends to 0 as (tau d,delta)$$ \left({\tau}_d,\delta \right) $$ tends to (0,0)$$ \left(0,0\right) $$ in an explicitly controlled way. finally, we present numerical simulations of the time evolution of weak solutions as a function of parameters.",01704214,Mathematical methods in the applied sciences,0.607
Robust optimal ship hulls based on michell's wave resistance," dirichlet energy , geometric shape optimization , lumped mass matrix , michell's wave resistance , newton's method , probability distribution , robust deterministic control","We seek the hull of a ship with a given volume which minimizes the water resistance with uncertainties on the cruising speed. the water resistance is based on michell's wave resistance functional, and the speed is a random variable whose probability distribution is known. we first handle the case where the support of the hull is given and then we also optimize this support for a given area. in each case, an optimal hull is shown to exist. the numerical simulations are costly so we adapt to our problem newton's method for shape optimization. the dirichlet energy is used as a test case. the numerical results for the robust optimal hull are compared with the case where the cruising speed is known.",01704214,Mathematical methods in the applied sciences,0.607
Maximum time step for high order bdf methods applied to gradient flows," backward euler scheme , energy technique , convergence , equilibrium , discretization , stability , equations , cahn gradient flow , bdf method , semiconvex function , lasalle's invariance principle , lojasiewicz inequality , allen-cahn equation","For a backward differentiation formula (bdf) applied to the gradient flow of a semiconvex function, quadratic stability implies gradient stability. namely, it is possible to build a lyapunov functional for the discrete-in-time dynamical system, with a restriction on the time step. the maximum time step which can be derived from quadratic stability has previously been obtained for the bdf1, bdf2 and bdf3 schemes. here, we compute it for the bdf4 and bdf5 methods. we also prove that the bdf6 scheme is not quadratically stable. our results are based on the tools developed by dahlquist and other authors to show the equivalence of a-stability and g-stability. we give several applications of gradient stability to the asymptotic behaviour of sequences generated by bdf schemes.",00080624,Calcolo,0.776
Convergence to equilibrium for time and space discretizations of the cahn-hilliard equation," finite-element-method , discontinuous galerkin methods , convex splitting schemes , backward euler scheme , gradient-like systems , phase-field model , singular potentials , numerical-analysis , allen-cahn , differential-equations cahn-hilliard equation , gradient flow , energy stable scheme , lyapunov stability , lasalle's invariance principle , lojasiewicz-simon inequality , kurdyka-lojasiewicz inequality","We review space and time discretizations of the cahn-hilliard equation which are energy stable. in many cases, we prove that a solution converges to a steady state as time goes to infinity. the proof is based on lyapunov theory and on a lojasiewicz type inequality. in a few cases, the convergence result is only partial and this raises some interesting questions. numerical simulations in two and three space dimensions illustrate the theoretical results. several perspectives are discussed.",19371632,Discrete and continuous dynamical systems-series s,0.541
A doubly splitting scheme for the caginalp system with singular potentials and dynamic boundary conditions," cahn-hilliard equation , long-time behavior , phase field model , numerical-analysis , approximation , attractors caginalp phase-field system , logarithmic potential , dynamic boundary conditions , maximal monotone operator , multivalued operator , convex splitting",We propose a time semi-discrete scheme for the caginalp phase-field system with singular potentials and dynamic boundary conditions. the scheme is based on a time splitting which decouples the equations and on a convex splitting of the energy associated to the problem. the scheme is unconditionally uniquely solvable and the energy is nonincreasing if the time step is small enough. the discrete solution is shown to converge to the energy solution of the problem as the time step tends to 0. the proof involves a multivalued operator and a monotonicity argument. this approach allows us to compute numerically singular solutions to the problem.,19371632,Discrete and continuous dynamical systems-series s,0.541
Maximum time step for the bdf3 scheme applied to gradient flows," gradient system , bdf method , semiconvex function , kurdyka-lojasiewicz property , multivalued dynamical system","For backward differentiation formulae (bdf) applied to gradient flows of semiconvex functions, quadratic stability implies the existence of a lyapunov functional. we compute the maximum time step which can be derived from quadratic stability for the 3-step bdf method (bdf3). applications to the asymptotic behaviour of sequences generated by the bdf3 scheme are given.",00080624,Calcolo,0.776
Remarks on the asymptotic behavior of scalar auxiliary variable (sav) schemes for gradient-like flows," numerical schemes , energy , convergence , equilibrium , growth , 2nd-order , efficient , cahn , accurate , equation gradient flow , sav schemes , bdf methods , sine-gordon equation , cahn-hilliard equation",We introduce a time semi-discretization of a damped wave equation by a sav scheme with second order accuracy. the energy dissipation law is shown to hold without any restriction on the time step. we prove that any sequence generated by the scheme converges to a steady state (up to a subsequence). we notice that the steady state equation associated to the sav scheme is a modified version of the steady state equation associated to the damped wave equation. we show that a similar result holds for a sav fully discrete version of the cahn-hilliard equation and we compare numerically the two steady state equations.,2156907X,Journal of applied analysis and computation,0.372
Regularity of optimal ship forms based on michell's wave resistance," optimization problem , existence shape optimization , existence , regularity , dirichlet energy , wave resistance","We introduce an optimal shaping problem based on michell's wave resistance formula in order to find the form of a ship which has an immerged hull with minimal total resistance. the problem is to find a function u is an element of h-0(1) (d), even in the z-variable, and which minimizes the functional
j(u) = integral(d)vertical bar del u(x, z)vertical bar(2)dxdz + integral(d)integral(d) k(x, z, x', z')u(x, z)u(x', z')dxdzdx'dz'
with an area constraint on the set ((x, z) is an element of d: u(x, z) not equal 0) and with the volume constraint integral(d) u(x, z)dxdz = v; d is a bounded open subset of r-2, symmetric about the x-axis, and k is michell's kernel. we prove that u is locally alpha-holder continuous on d for all 0 < alpha < 2/5, and locally lipschitz continuous on d* = {(x, z) is an element of d : z not equal 0). the main assumption is the nonnegativity of u. we also prove that the area constraint is ""saturated"". the results are first derived for a general kernel k is an element of l-q (d x d) with q is an element of (1, +infinity]. a numerical simulation illustrates the theoretical result.",00954616,Applied mathematics and optimization,0.916
The dual nature of the dead-water phenomenology: nansen versus ekman wave-making drags," stratified fluids , dead water , wave-making drags , linear dispersive undulating depression , lateral confinement","A ship encounters a higher drag in a stratified fluid compared to a homogeneous one. grouped under the same ""dead-water"" vocabulary, two wave-making resistance phenomena have been historically reported. the first, the nansen wave-making drag, generates a stationary internal wake which produces a kinematic drag with a noticeable hysteresis. the second, the ekman wave-making drag, is characterized by velocity oscillations caused by a dynamical resistance whose origin is still unclear. the latter has been justified previously by a periodic emission of nonlinear internal waves. here we show that these speed variations are due to the generation of an internal dispersive undulating depression produced during the initial acceleration of the ship within a linear regime. the dispersive undulating depression front and its subsequent whelps act as a bumpy treadmill on which the ship would move back and forth. we provide an analytical description of the coupled dynamics of the ship and the wave, which demonstrates the unsteady motion of the ship. thanks to dynamic calculations substantiated by laboratory experiments, we prove that this oscillating regime is only temporary: the ship will escape the transient ekman regime while maintaining its propulsion force, reaching the asymptotic nansen limit. in addition, we show that the lateral confinement, often imposed by experimental setups or in harbors and locks, exacerbates oscillations and modifies the asymptotic speed.",00278424,Proceedings of the national academy of sciences of the united states of america,3.737
Rankine-type cylinders having zero wave resistance in infinitely deep flows," neumann-kelvin problem , surface , uniqueness , statement rankine oval , neumann-kelvin problem , wave resistance , potential flow , linear water waves",We prove the existence of a family of immersed obstacles that have zero wave resistance in the context of the 2d neumann-kelvin problem. we first build a waveless potential by superposing a source and a sink in a uniform flow for an appropriate choice of parameters. the obstacle is obtained by a combination of streamlines of the waveless potential. numerical simulations show that the construction is valid for a large set of parameters.,02724960,Ima journal of applied mathematics,0.389
Convergence of exponential attractors for a finite element approximation of the allen-cahn equation," stationary statistical properties , inertial manifolds , system allen-cahn equation , exponential attractor , finite element method , global attractor , nonsmooth data error estimate","We consider a space semidiscretization of the allen-cahn equation by continuous piecewise linear finite elements. for every mesh parameter h, we build an exponential attractor of the dynamical system associated with the approximate equations. we prove that, as h tends to 0, this attractor converges for the symmetric hausdorff distance to an exponential attractor of the dynamical system associated with the allen-cahn equation. we also prove that the fractal dimension of the exponential attractor and of the global attractor is bounded by a constant independent of h. our proof is adapted from the result of efendiev, miranville and zelik concerning the continuity of exponential attractors under perturbation of the underlying semigroup. here, the perturbation is a space discretization. the case of a time semidiscretization has been analyzed in a previous paper.",01630563,Numerical functional analysis and optimization,0.536
Convergence of exponential attractors for a time semi-discrete reaction-diffusion equation," stationary statistical properties , dissipative dynamical-systems , approximation allen-cahn equation , backward euler scheme , global attractor , exponential attractor","We consider a time semi-discretization of a generalized allen-cahn equation with time-step parameter . for every , we build an exponential attractor of the discrete-in-time dynamical system. we prove that converges to an exponential attractor of the continuous-in-time dynamical system for the symmetric hausdorff distance as tends to 0. we also provide an explicit estimate of this distance and we prove that the fractal dimension of is bounded by a constant independent of . our construction is based on the result of efendiev, miranville and zelik concerning the continuity of exponential attractors under perturbation of the underlying semi-group. their result has been applied in many situations, but here, for the first time, the perturbation is a discretization. our method is applicable to a large class of dissipative problems.",0029599X,Numerische mathematik,1.855
Convergence of exponential attractors for a time splitting approximation of the caginalp phase-field system," dynamic boundary-conditions , stationary statistical properties , navier-stokes equations , cahn-hilliard , singular potentials , computations , behavior , models operator splitting , fractional step method , global attractor , exponential attractor","We consider a time semi-discretization of the caginalp phase-field model based on an operator splitting method. for every time-step parameter tau, we build an exponential attractor m-tau of the discrete-in-time dynamical system. we prove that m-tau converges to an exponential attractor m-0 of the continuous-in-time dynamical system for the symmetric hausdorff distance as tau tends to 0. we also provide an explicit estimate of this distance and we prove that the fractal dimension of m-tau is bounded by a constant independent of tau.",15340392,Communications on pure and applied analysis,0.744
Convergence to equilibrium for a time semi-discrete damped wave equation," gradient-like systems , backward euler scheme , evolution-equations , asymptotic regularity , analytic nonlinearity , bounded solutions , dissipation , inequality lojasiewicz-simon inequality , gradient-like equation , backward euler scheme","We prove that the solution of the backward euler scheme applied to a damped wave equation with analytic nonlinearity converges to a stationary solution as time goes to infinity. the proof is based on the lojasiewciz-simon inequality. it is much simpler than in the continuous case, thanks to the dissipativity of the scheme. the framework includes the modified allen-cahn equation and the sine-gordon equation.",2156907X,Journal of applied analysis and computation,0.372
Energy stable and convergent finite element schemes for the modified phase field crystal equation," cahn-hilliard equation , backward euler scheme , gradient-like systems , difference scheme , equilibrium , growth , models finite elements , second-order schemes , gradient-like systems , lojasiewicz inequality","We propose a space semi-discrete and a fully discrete finite element scheme for the modified phase field crystal equation (mpfc). the space discretization is based on a splitting method and on a galerkin approximation in h-1 for the phase function. this formulation includes the classical continuous finite elements. the time discretization is a second-order scheme which has been introduced by gomez and hughes for the cahn-hilliard equation. the fully discrete scheme is shown to be unconditionally energy stable and uniquely solvable for small time steps, with a smallness condition independent of the space step. using energy estimates, we prove that in both cases, the discrete solution converges to the unique energy solution of the mpfc equation as the discretization parameters tend to 0. this is the first proof of convergence for the scheme of gomez and hughes, which has been shown to be unconditionally energy stable for several cahn-hilliard related equations. using a lojasiewicz inequality, we also establish that the discrete solution tends to a stationary solution as time goes to infinity. numerical simulations with continuous piecewise linear (p-1) finite elements illustrate the theoretical results.",0764583X,Esaim-mathematical modelling and numerical analysis-modelisation mathematique et analyse numerique,N/A
Convergence to equilibrium for a second-order time semi-discretization of the cahn-hilliard equation," dynamic boundary-conditions , numerical-analysis , stationary solutions , evolution-equations , analytic features , gurtin equations , steady-states , tumor-growth , free-energy , model lojasiewicz-simon inequality , gradient flow , cahn-hilliard , backward differentiation formula",We consider a second-order two-step time semi-discretization of the cahn-hilliard equation with an analytic nonlinearity. the time-step is chosen small enough so that the pseudo-energy associated with the discretization is nonincreasing at every time iteration. we prove that the sequence generated by the scheme converges to a steady state as time tends to infinity. we also obtain convergence rates in the energy norm. the proof is based on the lojasiewicz-simon inequality.,24736988,Aims mathematics,0.456
A theoretical and numerical determination of optimal ship forms based on michell's wave resistance," hydrodynamic optimization quadratic programming , obstacle problem , sobolev space , uzawa algorithm , parametric shape optimization","We determine the parametric hull of a given volume which minimizes the total water resistance for a given speed of the ship. the total resistance is the sum of michell's wave resistance and of the viscous resistance, approximated by assuming a constant viscous drag coefficient. we prove that the optimized hull exists, is unique, symmetric, smooth and that it depends continuously on the speed. numerical simulations show the efficiency of the approach, and complete the theoretical results.",12928119,Esaim-control optimisation and calculus of variations,1.039
Global existence via a multivalued operator for an allen-cahn-gurtin equation," hilliard equation , model pseudo-parabolic , global existence , blow-up , allen-cahn , monotone operator , capacity , singular measures","The main goal of this paper is to prove existence of global solutions in time for an allen-cahn-gurtin model of pseudo-parabolic type. local solutions were known to ""blow up"" in some sense in finite time. it is proved that the equation is actually governed by a monotone-like operator. it turns out to be multivalued and measure-valued. the measures are singular with respect to the lebesgue measure. this operator allows to extend the local solutions globally in time and to fully solve the evolution problem. the asymptotic behavior is also analyzed.",10780947,Discrete and continuous dynamical systems,1.104
Convergence to equilibrium of solutions of the backward euler scheme for asymptotically autonomous second-order gradient-like systems," wave-equation , evolution , dissipation , regularity , decay lojasiewicz inequality , gradient-like systems , backward euler scheme , proximal method","Following a result of chill and jendoubi in the continuous case, we study the asymptotic behavior of sequences (u-n)(n) in r-d which satisfy the following backward euler scheme:
epsilon(un+1 - 2u(n) + un-1)/delta t(2) + un+1 - u-n/delta(t) + del f(un+1) = g(n+1), n >= 0, where delta t > 0 is the time step, epsilon >= 0, (g(n+1))(n) is a sequence in rd which converges to 0 in a suitable way, and f is an element of c-loc(1,1)(r-d,r) is a function which satisfies a lojasiewicz inequality. we prove that the above scheme is lyapunov stable and that any bounded sequence (u-n)(n) which complies with it converges to a critical point of f as n tends to infinity. we also obtain convergence rates. we assume that f is semiconvex for some constant c(f) >= 0 and that 1/delta t < c(f)/2; in the case epsilon = 0, these last two assumptions can be dropped off if the scheme is defined by a minimization algorithm. applications to space and time discretizations of the damped wave equation and of the modified swift- hohenberg equation are given.",15340392,Communications on pure and applied analysis,0.744
A long-time stable fully discrete approximation of the cahn-hilliard equation with inertial term," spinodal decomposition , binary-system , hyperbolic relaxation , splitting method , smooth , 3d second-order gradient-like flow , cahn-hilliard equation , mixed finite elements , discrete negative norms , numerical integration , lojasiewicz inequality","We prove the lyapunov stability of a time and space discretization of the cahn-hilliard equation with inertial term. the space discretization is a mixed (or ""splitting"") finite element method with numerical integration which includes a standard finite difference approximation. the time discretization is the backward euler scheme. the smallness assumption on the time step does not depend on the mesh step.",10780947,Discrete and continuous dynamical systems,1.104
Stationary solutions to phase field crystal equations," swift-hohenberg equation phase field crystal , bifurcation theory , higher order elliptic equations","This paper is devoted to the analytical and numerical study of stationary solutions of the one-dimensional phase field crystal equation. this new model recently introduced by k. elder and m. grant describes phase transformations at the atomic level on large time scales. by using bifurcation methods, we investigate the quantitative and qualitative properties of these solutions: multiplicity, stability, and periodicity. quite unusual bifurcation diagrams are obtained by numerical simulations. copyright (c) 2010 john wiley & sons, ltd.",01704214,Mathematical methods in the applied sciences,0.607
Error estimates for a finite element discretization of the cahn-hilliard-gurtin equations," convergence , models , existence",We prove optimal error estimates in energy norms and related norms for a space semidiscrete and for a fully discrete approximation of the cahn-hilliard-gurtin equations with source terms. numerical simulations in one and two space dimensions illustrate the theoretical results. we also prove convergence to equilibrium for the fully discrete scheme without source terms by the use of the lojasiewicz inequality.,10799389,Advances in differential equations,0.805
A numerical analysis of the cahn-hilliard equation with dynamic boundary conditions," convergence finite element method , error estimates , backward euler scheme , linearized crank-nicolson scheme , semilinear parabolic problem , lojasiewicz inequality","We consider a finite element space semi-discretization of the cahn-hilliard equation with dynamic boundary conditions. we prove optimal error estimates in energy norms and weaker norms, assuming enough regularity on the solution. when the solution is less regular, we prove a convergence result in some weak topology. we also prove the stability of a fully discrete problem based on the backward euler scheme for the time discretization. some numerical results show the applicability of the method.",10780947,Discrete and continuous dynamical systems,1.104
A splitting method for the cahn-hilliard equation with inertial term," finite-element methods , spinodal decomposition , hyperbolic relaxation , convergence , smooth , 3d discrete negative norms , mixed finite elements , lojasiewicz inequality , error estimates","P. galenko et al. proposed a cahn-hilliard model with inertial term in order to model spinodal decomposition caused by deep supercooling in certain glasses. here we analyze a finite element space semidiscretization of their model, based on a scheme introduced by c. m. elliott et al. for the cahn-hilliard equation. we prove that the semidiscrete solution converges weakly to the continuous solution as the discretization parameter tends to 0. we obtain optimal a priori error estimates in energy norm and related norms, assuming enough regularity on the solution. we also show that the semidiscrete solution converges to an equilibrium as time goes to in infinity and we give a simple finite difference version of the scheme.",02182025,Mathematical models & methods in applied sciences,2.167
Convergence to equilibrium for the backward euler scheme and applications," hilliard , equations lojasiewicz inequality , backward euler scheme , theta-scheme , stability , convergence rates","We prove that, under natural assumptions, the solution of the backward euler scheme applied to a gradient flow converges to an equilibrium, as time goes to infinity. optimal convergence rates are also obtained. as in the continuous case, the proof relies on the well known lojasiewicz inequality. we extend these results to the theta-scheme with theta is an element of [1/2, 1], and to the semilinear heat equation. applications to semilinear parabolic equations, such as the allen-cahn or cahn-hilliard equation, are given.",15340392,Communications on pure and applied analysis,0.744
Uniform convergence for a finite-element discretization of a viscous diffusion equation," cahn-hilliard equation , gurtin equations viscous cahn-hilliard equation , discrete maximum principle","We study a space semidiscretization of a viscous diffusion equation, obtained as a singular limit of the viscous cahn-hilliard equation by letting the interfacial energy tend to 0. the semidiscrete solution is shown to converge uniformly in time and space to the continuous solution, on finite time intervals, as the discretization parameter h tends to 0 (in space dimension one, two and three). we obtain an optimal error bound in space dimension one assuming only a piecewise lipschitz regularity on the initial value. this approach allows us to obtain some counterexamples concerning lower and upper bounds of solutions to cahn-hilliard equations. numerical simulations confirm the theoretical results.",02724979,Ima journal of numerical analysis,1.861
Stable discretizations of the cahn-hilliard-gurtin equations," numerical stability , euler backward scheme , lojasiewicz inequality","We study space and time discretizations of the cahn-hilliard-gurtin equations with a polynomial nonlinearity. we first consider a space semi-discrete version of the equations, and we prove in particular that any solution converges to a steady state (as in the continuous case). then, we study the numerical stability of the fully discrete scheme obtained by applying the euler backward scheme to the space semi-discrete problem. in particular, we show that this fully discrete problem is unconditionally stable. numerical simulations in one space dimension conclude the paper.",10780947,Discrete and continuous dynamical systems,1.104
Symmetric boundary values for the dirichlet problem for harmonic maps from the disc into the 2-sphere," surface , regularity","Let aut(d) denote the group of biholomorphic diffeormorphisms from the unit disc d onto itself and o(3) the group of orthogonal transformations of the unit sphere s-2. the existence of multiple solutions to the dirichlet problem for harmonic maps from d into s-2 is related to the symmetries (if any) of the boundary value gamma : partial derivative d -> s-2, by invariance of the dirichlet energy under the action of aut(d) x o(3). in this paper, we classify the stabilizers in aut(d) x o(3) of boundary values in h-1/2(s-1, s-2) and c-0(s-1, s-2). we give two applications to the dirichlet problem for harmonic maps.",09442669,Calculus of variations and partial differential equations,2.357
Non-global existence for an allen-cahn-gurtin equation with logarithmic free energy," microforce balance maximum principle , nonlinear pseudoparabolic equation","We consider a simple allen-cahn-gunin model with a logarithmic potential. we show that strong solutions exist locally in time, but not globally in general. this is due to a lack of maximum principle.",14243199,Journal of evolution equations,1.195
Asymptotic expansion for a delay differential equation with continuous and piecewise constant arguments," number-theory delay differential equation , asymptotic expansion , adjoint equation , laplace transform","We introduce a family of solutions to a linear delay differential equation with continuous and piecewise constant arguments depending on four parameters, and we give an asymptotic expansion of any solution of this equation with respect to this family. the fundamental solutions are indexed by the zeros (counting multiplicities) of a meromorphic function in the complex plane. this function generalizes the characteristic equation which was known to characterize the oscillatory behaviour of the delay differential equation for certain values of the parameters. the proof uses the laplace transform, fourier series, and the adjoint equation.",05328721,Funkcialaj ekvacioj-serio internacia,0.415
Mesh optimization for singular axisymmetric harmonic maps from the disc into the sphere," elliptic problems , dimensions , algorithm , energy","We describe in a mathematical setting the singular energy minimizing axisymmetric harmonic maps from the unit disc into the unit sphere; then, we use this as a test case to compute optimal meshes in presence of sharp boundary layers. for the well-posedness of the continuous minimizing problem, we introduce a lower semicontinuous extension of the energy with respect to weak convergence in bv, and we prove that the extended minimization problem has a unique singular solution. we then show how a moving finite element method, in which the mesh is an unknown of the discrete minimization problem obtained by finite element discretization, mimics this geometric point of view. finally, we present numerical computations with boundary layers of zero thickness, and we give numerical evidence of the convergence of the method. this last aspect is proved in another paper.",0029599X,Numerische mathematik,1.855
Moving mesh for the axisymmetric harmonic map flow," heat-flow , nonuniqueness , uniqueness moving mesh , finite elements , harmonic map flow , axisymmetric","We build corotational symmetric solutions to the harmonic map flow from the unit disc into the unit sphere which have constant degree. first, we prove the existence of such solutions, using a time semi-discrete scheme based on the idea that the harmonic map flow is the l-2-gradient of the relaxed dirichlet energy. we prove a partial uniqueness result concerning these solutions. then, we compute numerically these solutions by a moving-mesh method which allows us to deal with the singularity at the origin. we show numerical evidence of the convergence of the method.",0764583X,Esaim-mathematical modelling and numerical analysis-modelisation mathematique et analyse numerique,N/A
Symmetry breaking for the dirichlet problem for harmonic maps from the disc into the 2-sphere,,We study the relations between symmetry and degree for the dirichlet problem for harmonic maps from the disc into the 2-sphere. this allows us to exhibit multiple solutions in many homotopy classes for a wide range of boundary values with symmetries.,10799389,Advances in differential equations,0.805
Weak bv convergence of a moving finite-element method for singular axisymmetric harmonic maps," elliptic problems , mesh , algorithm , dimensions moving mesh , finite-element methods , harmonic maps , bv functions","We prove the convergence of a moving finite-element method for the minimization of a relaxed dirichlet energy among axisymmetric maps from the disc into the sphere. the optimal mesh and the discrete minimizer exist for a discrete relaxed energy. similarly to the true solution, the discrete minimizer has a boundary layer. because of the consistency error introduced by the discretization of the energy, this discrete minimizer is nonconforming. we show that it converges to the solution of the continuous problem in an appropriate bv space. the proof is done for three different piecewise linear finite-element discretizations.",00361429,Siam journal on numerical analysis,2.163
Newton and conjugate gradient for harmonic maps from the disc into the sphere," dirichlet problem , 2-sphere , regularity , surface harmonic maps , finite elements , mesh-refinement , sobolev gradient , newton algorithm , conjugate gradient","We compute numerically the minimizers of the dirichlet energy
[graphics]
among maps u : b-2 --> s-2 from the unit disc into the unit sphere that satisfy a boundary condition and a degree condition. we use a sobolev gradient algorithm for the minimization and we prove that its continuous version preserves the degree. for the discretization of the problem we use continuous p-1 finite elements. we propose an original mesh-refining strategy needed to preserve the de g re e wit h the discete version of the algorithm (which is a preconditioned projected gradient). in order to improve the convergence, we generalize to manifolds the classical newton and conjugate gradient algorithms. we give a proof of the quadratic convergence of the newton algorithm for manifolds in a general setting.",12623377,Esaim-control optimisation and calculus of variations,1.039
Limitations of chebyshev interpolation nodes : counter examples and insights," runge phenomenon , non-differentiable , non-linear function , lagrange approximation , chebyshev nodes","Interpolation using uniformly spaced nodes often encounters runge's phenomenon when applied to smooth functions. to mitigate this issue, chebyshev roots are frequently recommended as better interpolation nodes. however, our study reveals the limitations of chebyshev roots for interpolation by presenting a series of counterexamples. these counterexamples encompass functions that exhibit both differentiable and non-differentiable characteristics. by examining scenarios where chebyshev interpolation falls short of producing satisfactory results, we shed light on when alternative interpolation methods should be considered.",09720502,Journal of interdisciplinary mathematics,0.473
