Titre de l'article,Titre de source,Résumé,ISSN,SJR
Bifurcation of traveling waves in extrinsic semiconductors,Physica D: Nonlinear Phenomena,"We analyze the bifurcation of traveling waves in a standard model of electrical conduction in extrinsic semiconductors. In scaled variables the corresponding traveling wave problem is a singularly perturbed nonlinear three-dimensional o.d.e. system. The relevant bifurcation parameters are the wave speed s and the total current j. By means of geometric singular perturbation theory it suffices to analyze a two-dimensional reduced problem. Depending on the relative size of s and a dimensionless small parameter β different types of traveling waves exist. For 0≤s≪β the only waves are fronts corresponding to heteroclinic orbits. For β≪s similar fronts — but with left and right states reversed — exist. The transition between these regimes occurs for s=O(β) in a complicated global bifurcation involving a Hopf bifurcation, bifurcation of multiple periodic orbits, and heteroclinic and homoclinic bifurcations. We present a …",01672789,3.117
Analytical insights on theta-gamma coupled neural oscillators,The Journal of Mathematical Neuroscience,"In this paper, we study the dynamics of a quadratic integrate-and-fire neuron, spiking in the gamma (30–100 Hz) range, coupled to a delta/theta frequency (1–8 Hz) neural oscillator. Using analytical and semianalytical methods, we were able to derive characteristic spiking times for the system in two distinct regimes (depending on parameter values): one regime where the gamma neuron is intrinsically oscillating in the absence of theta input, and a second one in which gamma spiking is directly gated by theta input, i.e., windows of gamma activity alternate with silence periods depending on the underlying theta phase. In the former case, we transform the equations such that the system becomes analogous to the Mathieu differential equation. By solving this equation, we can compute numerically the time to the first gamma spike, and then use singular perturbation theory to find successive spike times. On the …",21908567,1.8
From canards of folded singularities to torus canards in a forced van der Pol equation,Journal of Nonlinear Science,"In this article, we study canard solutions of the forced van der Pol equation in the relaxation limit for low-, intermediate-, and high-frequency periodic forcing. A central numerical observation made herein is that there are two branches of canards in parameter space which extend across all positive forcing frequencies. In the low-frequency forcing regime, we demonstrate the existence of primary maximal canards induced by folded saddle nodes of type I and establish explicit formulas for the parameter values at which the primary maximal canards and their folds exist. Then, we turn to the intermediate- and high-frequency forcing regimes and show that the forced van der Pol possesses torus canards instead. These torus canards consist of long segments near families of attracting and repelling limit cycles of the fast system, in alternation. We also derive explicit formulas for the parameter values at which the …","09388974, 14321467",2.5
Synchronization of weakly coupled canard oscillators,Physica D: Nonlinear Phenomena,"Synchronization has been studied extensively in the context of weakly coupled oscillators using the so-called phase response curve (PRC) which measures how a change of the phase of an oscillator is affected by a small perturbation. This approach was based upon the work of Malkin, and it has been extended to relaxation oscillators. Namely, synchronization conditions were established under the weak coupling assumption, leading to a criterion for the existence of synchronous solutions of weakly coupled relaxation oscillators. Previous analysis relies on the fact that the slow nullcline does not intersect the fast nullcline near one of its fold points, where canard solutions can arise. In the present study we use numerical continuation techniques to solve the adjoint equations and we show that synchronization properties of canard cycles are different than those of classical relaxation cycles. In particular, we highlight a …",01672789,3.117
Splay states in finite pulse-coupled networks of excitable neurons,SIAM Journal on Applied Dynamical Systems,"The emergence and stability of splay states is studied in fully coupled finite networks of excitable quadratic integrate-and-fire neurons, connected via synapses modeled as pulses of finite amplitude and duration. For such synapses, by introducing two distinct types of synaptic events (pulse emission and termination), we were able to write down an exact event-driven map for the system and to evaluate the splay state solutions. For overlapping postsynaptic potentials, the linear stability analysis of the splay state should also take in account, besides the actual values of the membrane potentials, the firing times associated with the previous pulse emissions. As a matter of fact, it was possible, by introducing complementary variables, to rephrase the evolution of the network as an event-driven map and to derive an analytic expression for the Floquet spectrum. We find that, independently of , the splay state is marginally …",15360040,1.647
Secondary bifurcations in symmetric systems,Differential Equations,"X f (x,>.)(1.1) with f:] Rn x] Rk-+] Rn sufficiently smooth. We will assume that the system is symmetric, that is to say we have f (yx,>.)-yf (x,>.)(1.2) for ally belonging to a compact group r of linear operators on: mn; by standard theory we mayassumethat r is a closed subgroup of the orthogonal group O (n), and hence also a Lie group. We are mainly interested in the case dim r> 0, since otherwise most of our discussion becomes trivial. We want to study secondary bifurcations for (1.1); by this we mean bifurcations from non-zero equilibria and from non-constant periodic solutions. When there is no symmetry (ie r is trivial) the bifurcation problem has been studied using a wide variety of methods which essentially all reduce to a combination of one of the following: the Liapunov-Schmidt method, reduction to center manifolds, Poincare mappings and normal form theory. Using these methods one obtains for example easily all …","00122661, 16083083",0.706
Ducks in space: from nonlinear absolute instability to noise-sustained structures in a pattern-forming system,"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences","A subcritical pattern-forming system with nonlinear advection in a bounded domain is recast as a slow–fast system in space and studied using a combination of geometric singular perturbation theory and numerical continuation. Two types of solutions describing the possible location of stationary fronts are identified, whose origin is traced to the onset of convective and absolute instability when the system is unbounded. The former are present only for non-zero upstream boundary conditions and provide a quantitative understanding of noise-sustained structures in systems of this type. The latter correspond to the onset of a global mode and are present even with zero upstream boundary conditions. The role of canard trajectories in the nonlinear transition between these states is clarified and the stability properties of the resulting spatial structures are determined. Front location in the convective regime is highly …","13645021, 14712946",2.998
Stability computations for nilpotent Hopf bifurcations in coupled cell systems,International Journal of Bifurcation and Chaos,"Vanderbauwhede and van Gils, Krupa, and Langford studied unfoldings of bifurcations with purely imaginary eigenvalues and a nonsemisimple linearization, which generically occurs in codimension three. In networks of identical coupled ODE these nilpotent Hopf bifurcations can occur in codimension one. Elmhirst and Golubitsky showed that these bifurcations can lead to surprising branching patterns of periodic solutions, where the type of bifurcation depends in part on the existence of an invariant subspace corresponding to partial synchrony. We study the stability of some of these bifurcating solutions. In the absence of partial synchrony the problem is similar to the generic codimension three problem. In this case we show that the bifurcating branches are generically unstable. When a synchrony subspace is present we obtain partial stability results by using only those near identity transformations that leave this …","02181274, 17936551",2.088
Extending the zero-derivative principle for slow–fast dynamical systems,Zeitschrift für angewandte Mathematik und Physik,"Slow–fast systems often possess slow manifolds, that is invariant or locally invariant sub-manifolds on which the dynamics evolves on the slow time scale. For systems with explicit timescale separation, the existence of slow manifolds is due to Fenichel theory, and asymptotic expansions of such manifolds are easily obtained. In this paper, we discuss methods of approximating slow manifolds using the so-called zero-derivative principle. We demonstrate several test functions that work for systems with explicit time scale separation including ones that can be generalized to systems without explicit timescale separation. We also discuss the possible spurious solutions, known as ghosts, as well as treat the Templator system as an example.","00442275, 14209039",1.781
Stability of relative equilibria. Part I: Comparison of four methods,Meccanica,"In this first part of the paper, we review methods for the investigation of stability of relative equilibria of symmetric Hamiltonian systems and explain them by means of the model problem of a rotating pendulum. For this example the modern approaches, known as energy momentum methods are compared with stability assessment by linearization and by the classical method of Routh.","00256455, 15729648",2.253
Homoclinic twist bifurcations with ℤ2 symmetry,Journal of nonlinear science,We analyze bifurcations occurring in the vicinity of a homoclinic twist point for a generic two-parameter family of ℤ2 equivariant ODEs in four dimensions. The results are compared with numerical results for a system of two coupled Josephson junctions with pure capacitive load.,"09388974, 14321467",2.5
Canard-mediated (de) synchronization in coupled phantom bursters,SIAM Journal on Applied Dynamical Systems,"In this work, we study canard-mediated transitions in mutually coupled phantom bursters. We extend a multiple-timescale model which provides a sequence of dynamic events, i.e., transition from a frequency modulated relaxation cycle to a quasi-steady-state and resumption of the relaxation regime through small amplitude oscillations. Folded singularities and associated canard solutions have a particular impact on the dynamics of the original system, which consists of two feedforward coupled FitzHugh--Nagumo oscillators, where the slow subsystem (regulator) controls the periodic behavior of the fast subsystem (secretor). We first investigate the variability in the dynamics depending on the canard mechanism that occurs near the folded singularities of the four-dimensional secretor-regulator configuration. Then, we introduce a second secretor and focus on the slow-fast transitions in the presence of a linear …",15360040,1.647
Mixed-mode oscillations due to a singular Hopf bifurcation in a forest pest model,Mathematical Population Studies,"In a forest pest model, young trees are distinguished from old trees. The pest feeds on old trees. The pest grows on a fast scale, the young trees on an intermediate scale, and the old trees on a slow scale. A combination of a singular Hopf bifurcation and a “weak return” mechanism, characterized by a small change in one of the variables, determines the features of the mixed-mode oscillations. Period-doubling and saddle-node bifurcations lead to closed families (called isolas) of periodic solutions in a bifurcation corresponding to a singular Hopf bifurcation.","08898480, 1547724X",2.81
Magnetic dynamos in rotating convection-a dynamical systems approach,DYNAMICS OF CONTINUOUS DISCRETE AND IMPULSIVE SYSTEMS,"In this paper, we consider the existence of self-sustained magnetic dynamos in rotating B enard convection. Dynamical systems techniques are used to bridge the gap between the kinematic dynamo problem and the full rotating magnetohydrodynamic equations. Building upon the solution of Childress and Soward, proposed in 1972, to the kinematic dynamo problem, we show that secondary bifurcation from purely convective states leads to solutions to the full nonlinear dynamo problem. In particular, we address issues that arise from the K uppers-Lortz instability in rotating convection. We obtain steady, periodic, traveling and intermittent weak-eld dynamos.",14928760,0.553
Experimental study of extended timescale dynamics of a plasma wakefield driven by a self-modulated proton bunch,Physical Review Accelerators and Beams,"Plasma wakefield dynamics over timescales up to 800 ps, approximately 100 plasma periods, are studied experimentally at the Advanced Wakefield Experiment (AWAKE). The development of the longitudinal wakefield amplitude driven by a self-modulated proton bunch is measured using the external injection of witness electrons that sample the fields. In simulation, resonant excitation of the wakefield causes plasma electron trajectory crossing, resulting in the development of a potential outside the plasma boundary as electrons are transversely ejected. Trends consistent with the presence of this potential are experimentally measured and their dependence on wakefield amplitude are studied via seed laser timing scans and electron injection delay scans.",24699888,1.615
Simulation and experimental study of proton bunch self-modulation in plasma with linear density gradients,Physical Review Accelerators and Beams,"We present numerical simulations and experimental results of the self-modulation of a long proton bunch in a plasma with linear density gradients along the beam path. Simulation results agree with the experimental results reported [F. Braunmller, T. Nechaeva et al. (AWAKE Collaboration), Phys. Rev. Lett. 125, 264801 (2020)PRLTAO0031-900710.1103/PhysRevLett.125.264801]: with negative gradients, the charge of the modulated bunch is lower than with positive gradients. In addition, the bunch modulation frequency varies with gradient. Simulation results show that dephasing of the wakefields with respect to the relativistic protons along the plasma is the main cause for the loss of charge. The study of the modulation frequency reveals details about the evolution of the self-modulation process along the plasma. In particular for negative gradients, the modulation frequency across time-resolved images of the …",24699888,1.615
Heteroclinic cycles in Hopfield networks,Journal of Nonlinear Science,"It is widely believed that information is stored in the brain by means of the varying strength of synaptic connections between neurons. Stored patterns can be replayed upon the arrival of an appropriate stimulus. Hence, it is interesting to understand how an information pattern can be represented by the dynamics of the system. In this work, we consider a class of network neuron models, known as Hopfield networks, with a learning rule which consists of transforming an information string to a coupling pattern. Within this class of models, we study dynamic patterns, known as robust heteroclinic cycles, and establish a tight connection between their existence and the structure of the coupling.","09388974, 14321467",2.5
Canard explosion in delay differential equations,Journal of Dynamics and Differential Equations,"We analyze canard explosions in delay differential equations with a one-dimensional slow manifold. This study is applied to explore the dynamics of the van der Pol slow–fast system with delayed self-coupling. In the absence of delays, this system provides a canonical example of a canard explosion. We show that as the delay is increased a family of ‘classical’ canard explosions ends as a Bogdanov–Takens bifurcation occurs at the folds points of the S-shaped critical manifold.",10407294,1.527
Border collision bifurcations of stroboscopic maps in periodically driven spiking models,SIAM Journal on Applied Dynamical Systems,"In this work we consider a general nonautonomous hybrid system based on the integrate-and-fire model, widely used as simplified version of neuronal models and other types of excitable systems. Our assumptions are that the system is monotonic, possesses an attracting subthreshold equilibrium point, and is forced by means of a periodic pulsatile (square wave) function. In contrast to classical methods, in our approach we use the stroboscopic map (time- return map) instead of the so-called firing map. It becomes a discontinuous map potentially defined in an infinite number of partitions. By applying theory for piecewise-smooth systems, we avoid relying on particular computations, and we develop a novel approach that can be easily extended to systems with other topologies (expansive dynamics) and higher dimensions. More precisely, we rigorously study the bifurcation structure in the two-dimensional parameter …",15360040,1.647
Symmetry breaking and symmetry locking in equivariant circle maps,Physica D: Nonlinear Phenomena,"Circle maps which commute with actions of a finite cyclic or dihedral group, G, are considered as models for symmetric dynamical systems which undergo “symmetry breaking” and “symmetry increasing” bifurcations. The possible symmetry breaking bifurcations of periodic orbits are classified. Two notions of “symmetry locking” are defined. Full symmetry locking occurs when the symmetry groups of (the closures of) all trajectories of a map are contained in some proper subgroup of G. Partial symmetry locking occurs when the symmetry groups of all trajectories in some invariant open subset of the circle are contained in a proper subgroup of G. Full symmetry locking is essentially equivalent to frequency locking. Partial symmetry locking occurs in “unimodal windows” in parameter space and in certain regions of the Arnold tongues of the maps. A brief discussion of “symmetry restoration” via attractor “crises”, which …",01672789,3.117
"Inflection, canards and folded singularities in excitable systems: application to a 3D FitzHugh–Nagumo model",Journal of Nonlinear Science,"Specific kinds of physical and biological systems exhibit complex Mixed-Mode Oscillations mediated by folded-singularity canards in the context of slow-fast models. The present manuscript revisits these systems, specifically by analysing the dynamics near a folded singularity from the viewpoint of inflection sets of the flow. Originally, the inflection set method was developed for planar systems [Brøns and Bar-Eli in Proc R Soc A 445(1924):305–322, 1994; Okuda in Prog Theor Phys 68(6):1827–1840, 1982; Peng et al. in Philos Trans R Soc A 337(1646):275–289, 1991] and then extended to N-dimensional systems [Ginoux et al. in Int J Bifurc Chaos 18(11):3409–3430, 2008], although not tailored to specific dynamics (e.g. folded singularities). In our previous study, we identified components of the inflection sets that classify several canard-type behaviours in 2D systems [Desroches et al. in J Math Biol 67(4):989–1017 …","09388974, 14321467",2.5
Latching dynamics in neural networks with synaptic depression,Plos one,"Prediction is the ability of the brain to quickly activate a target concept in response to a related stimulus (prime). Experiments point to the existence of an overlap between the populations of the neurons coding for different stimuli, and other experiments show that prime-target relations arise in the process of long term memory formation. The classical modelling paradigm is that long term memories correspond to stable steady states of a Hopfield network with Hebbian connectivity. Experiments show that short term synaptic depression plays an important role in the processing of memories. This leads naturally to a computational model of priming, called latching dynamics; a stable state (prime) can become unstable and the system may converge to another transiently stable steady state (target). Hopfield network models of latching dynamics have been studied by means of numerical simulation, however the conditions for the existence of this dynamics have not been elucidated. In this work we use a combination of analytic and numerical approaches to confirm that latching dynamics can exist in the context of a symmetric Hebbian learning rule, however lacks robustness and imposes a number of biologically unrealistic restrictions on the model. In particular our work shows that the symmetry of the Hebbian rule is not an obstruction to the existence of latching dynamics, however fine tuning of the parameters of the model is needed.",19326203,3.107
Noise-induced canard and mixed-mode oscillations in large-scale stochastic networks,SIAM Journal on Applied Mathematics,"Slow-fast dynamical systems, such as those describing the excitable dynamics of nerve cells, can present a variety of very delicate phenomena, such as canard explosions or mixed-mode oscillations (MMOs), in which dramatic transitions occur upon very small variation of the parameters. In biological situations, these excitable systems are coupled and subject to intense noise, which may have the effect of destroying these phenomena. While this is true for single cells or small networks, we show that large-scale networks do display reliable canard explosions and MMOs in the presence of noise, and these transitions can even occur upon variation of the noise standard deviation. We show that this phenomenon can be related to averaging effects occurring in large populations by investigating a network of interconnected Wilson--Cowan rate neurons which converges to a stochastic process whose mean satisfies a …","00361399, 1095712X",2.029
Semirotors in the Josephson junction equations,Journal of Nonlinear Science,"We consider the dynamics of arrays ofN-series coupled Josephson junctions, under pure resistive and capacitive loads. In the limit of the junction capacitance becoming large, we prove the existence of semirotor solutions. These are periodic solutions in which the phase difference across the gap ink of the junctions oscillates with small amplitude while the remainingN—k phase differences increase by 2π radians per period. We investigate the stability of these solutions and report observations of chaotic behavior associated with these solutions.","09388974, 14321467",2.5
Neuronal mechanisms for sequential activation of memory items: Dynamics and reliability,Plos one,"In this article we present a biologically inspired model of activation of memory items in a sequence. Our model produces two types of sequences, corresponding to two different types of cerebral functions: activation of regular or irregular sequences. The switch between the two types of activation occurs through the modulation of biological parameters, without altering the connectivity matrix. Some of the parameters included in our model are neuronal gain, strength of inhibition, synaptic depression and noise. We investigate how these parameters enable the existence of sequences and influence the type of sequences observed. In particular we show that synaptic depression and noise drive the transitions from one memory item to the next and neuronal gain controls the switching between regular and irregular (random) activation.",19326203,3.107
Slow-fast transitions to seizure states in the Wendling-Chauvel neural mass model,Opera Medica et Physiologica,"We revisit the Wendling-Chauvel neural mass model by reducing it to eight ODEs and adding a dierential equation that accounts for a dynamic evolution of the slow inhibitory synaptic gain. This allows to generate dynamic transitions in the resulting nine-dimensional model. The output of the extended model can be related to EEG patterns observed during epileptic seizure, in particular isolated pre-ictal spikes and low-voltage fast oscillations at seizure onset. We analyse the extended model using basic tools from slow-fast dynamical systems theory and relate the main transitions towards seizure states to torus canards, a type of solutions that has been shown to explain the spiking to bursting transition in many neural models. We nd that the original ten-dimensional Wendling-Chauvel model can be reduced to eight dimensions, two variables being scaled versions of two other variables of the model. We then obtain a model with four PSP blocks, which is consistent with the block-diagrams typically presented to describe this model. Instead of varying the slow inhibitory synaptic gain parameter B quasi-statically, or just performing numerical bifurcation analysis in B as the structure of the fast subsystem of an hypothetical extended system, we construct a true slow dynamics for B, depending sensitively on the main PSP output of the model, Y0. Near fold bifurcation of limit cycles of the original model, the solution to the extended model performs fast low-amplitude oscillations close to both attracting and repelling branches of limit cycles, which is the signature of a torus canard phenomenon.","25002287, 25002295",0.372
Extending geometric singular perturbation theory to nonhyperbolic points,preprint,"The geometric approach to singular perturbation problems is based on powerful methods from dynamical systems theory. These techniques have been very successful in the case of normally hyperbolic critical manifolds. However, at points where normal hyperbolicity fails, eg fold points or points of self-intersection of the critical manifold, the well developed geometric theory does not apply. We present a method based on blow-up techniques which leads to a rigorous geometric analysis of these problems. The blow-up method leads to problems which can be analyzed by standard methods of the theory of dynamical systems. The ecient use of various charts is emphasized.",05693772,0.0
Analysis of proton bunch parameters in the AWAKE experiment,Journal of Instrumentation,A precise characterization of the incoming proton bunch parameters is required to accurately simulate the self-modulation process in the Advanced Wakefield Experiment (AWAKE). This paper presents an analysis of the parameters of the incoming proton bunches used in the later stages of the AWAKE Run 1 data-taking period. The transverse structure of the bunch is observed at multiple positions along the beamline using scintillating or optical transition radiation screens. The parameters of a model that describes the bunch transverse dimensions and divergence are fitted to represent the observed data using Bayesian inference. The analysis is tested on simulated data and then applied to the experimental data.,17480221,1.113
Modeling dopaminergic modulation of clustered gamma rhythms,Communications in Nonlinear Science and Numerical Simulation,"Gamma rhythm (20–100 Hz) plays a key role in numerous cognitive tasks: working memory, sensory processing and in routing of information across neural circuits. In comparison with lower frequency oscillations in the brain, gamma-rhythm associated firing of the individual neurons is sparse and the activity is locally distributed in the cortex. Such “weak” gamma rhythm results from synchronous firing of pyramidal neurons in an interplay with the local inhibitory interneurons in a ""pyramidal-interneuron gamma"" or PING. Experimental evidence shows that individual pyramidal neurons during such oscillations tend to fire at rates below gamma, with the population showing clear gamma oscillations and synchrony. One possible way to describe such features is that this gamma oscillation is generated within local synchronous neuronal clusters. The number of such synchronous clusters defines the overall coherence of …",10075704,3.864
Homoclinic twist bifurcation in a system of two coupled oscillators,Journal of Dynamics and Differential Equations,"We analyse the dynamics of two identical Josephson junctions coupled through a purely capacitive load in the neighborhood of a degenerate symmetric homoclinic orbit. A bifurcation function is obtained applying Lin's version of the Lyapunov–Schmidt reduction. We locate in parameter space the region of existence of n-periodic orbits, and we prove the existence of n-homoclinic orbits and bounded nonperiodic orbits. A singular limit of the bifurcation function yields a one-dimensional mapping which is analyzed. Numerical computations of nonsymmetric homoclinic orbits have been performed, and we show the relevance of these computations by comparing the results with the analysis.",10407294,1.527
Modulation of synchronous gamma rhythm clusters,Cybernetics and Physics,"Gamma rhythm plays a key role in numerous cognitive tasks: working memory, sensory processing and routing of information across neural circuits. In comparison with other (lower frequency) oscillations it is sparser and locally distributed in the cortex. One of the possibilities to describe such gamma features is to suggest that gamma is generated within local synchronous neuronal clusters. These clusters can be modulated by some brain neuromodulators: dopamine, acetylcholine and adrenaline, etc. Within this paper we consider the influence of dopamine modulation on the cluster formation process of in the PING network model of the weak gamma rhythm.","22237038, 22264116",1.015
Mixed Mode Oscillations Due to the Generalized canard Phenomenon Morten Brens Department of Mathematics Technical University of Denmark,Fields Institute Communications,"Mixed mode oscillations combine features of small oscillations and large oscillations of relaxation type. We describe a mechanism for mixed mode oscillations based on the presence of canard solutions, which are trajectories passing from a stable to an unstable slow manifold. An important ingredient of this mechanism are singularities known as folded nodes. The main focus of this article is to show how the local dynamics near a folded node can combine with global features, leading to mixed mode oscillations. We re v iew and extend the results of [28] on the dynamics near a folded node and state some results on mixed mode periodic orbits with F arey se q uences of the form 1s. We also show how to generaliz e the context of one fast v ariable to an arbitrary number of fast v ariables.",10695265,0.511
"Firing-rate, symbolic dynamics and frequency dependence in periodically driven spiking models: a piecewise-smooth approach",Nonlinearity,"In this work we consider a periodically forced generic integrate-and-fire model with a unique attracting equilibrium in the subthreshold dynamics and study the dependence of the firing-rate on the frequency of the drive. In an earlier study we have obtained rigorous results on the bifurcation structure in such systems, with emphasis on the relation between the firing-rate and the rotation number of the existing periodic orbits. In this work we study how these bifurcation structures behave upon variation of the frequency of the input. This allows us to show that the dependence of the firing-rate on frequency of the drive follows a devil's staircase with non-monotonic steps and that there is an optimal response in the whole frequency domain. We also characterize certain bounded frequency windows in which the firing-rate exhibits a bell-shaped envelope with a global maximum.","09517715, 13616544",1.685
"Parabolic bursting, spike-adding, dips and slices in a minimal model",Mathematical Modelling of Natural Phenomena,"A minimal system for parabolic bursting, whose associated slow flow is integrable, is presented and studied both from the viewpoint of bifurcation theory of slow-fast systems, of the qualitative analysis of its phase portrait and of numerical simulations. We focus the analysis on the spike-adding phenomenon. After a reduction to a periodically forced one-dimensional system, we uncover the link with the dips and slices first discussed by J.E. Littlewood in his famous articles on the periodically forced van der Pol system.","09735348, 17606101",2.544
High-frequency forced oscillations in neuronlike elements,Physical Review E,"We analyzed a generic relaxation oscillator under moderately strong forcing at a frequency much greater that the natural intrinsic frequency of the oscillator. Additionally, the forcing is of the same sign and, thus, has a nonzero average, matching neuroscience applications. We found that, first, the transition to high-frequency synchronous oscillations occurs mostly through periodic solutions with virtually no chaotic regimes present. Second, the amplitude of the high-frequency oscillations is large, suggesting an important role for these oscillations in applications. Third, the 1:1 synchronized solution may lose stability, and, contrary to other cases, this occurs at smaller, but not at higher frequency differences between intrinsic and forcing oscillations. We analytically built a map that gives an explanation of these properties. Thus, we found a way to substantially “overclock” the oscillator with only a moderately strong external …","24700045, 24700053",2.266
Stability of multiple access network control schemes with carrier sensing and exponential backoff,Physica A: Statistical Mechanics and its Applications,"A new approach to determine the stability of multiple access network control schemes is presented. A “busy” network (the precise meaning of the term “busy” will be presented in the text) is modelled as a switched single-server hybrid dynamical system whose switching laws are stochastic and are based on typical multiple access network control protocols such as ALOHA and ethernet. The techniques are used to compute the critical ratio of traffic production per network node to total available bandwidth that ensures that data packets will not accumulate unboundedly in waiting queues at each node. This is a measure of stability of the network and is an emergent, global, property determined by decentralized, autonomous behavior of each node. The behavior of each individual node is regarded as “microscopic” and the collective behavior of the network as a whole are emergent consequences of such microscopic …",03784371,3.098
Consecutive and non-consecutive heteroclinic cycles in Hopfield networks,Dynamical Systems,"We review and extend the previous work where a model was introduced for Hopfield-type neural networks, which allows for the existence of heteroclinic dynamics between steady patterns. This dynamics is a mathematical model of periodic or aperiodic switching between stored information items in the brain, in particular, in the context of sequential memory or cognitive tasks as observed in experiments. The basic question addressed in this work is whether, given a sequence of steady patterns, it is possible by applying classical learning rules to build a matrix of connections between neurons in the network, such that a heteroclinic dynamics links these patterns. It has been shown previously that the answer is positive in the case where the sequence is a so-called simple consecutive cycle. We show that on the contrary the answer is negative for a non-simple cycle: heteroclinic dynamics does still exist; however, it …",14689367,0.438
Special issue for Martin Golubitsky,Dynamical Systems,"Beyond in honour of Marty Golubitsky’s 70th birthday. Marty’s influence on the field of bifurcation theory, symmetry and its many applications is widely recognized. The workshop attracted a selection of distinguished speakers from the US and abroad: collaborators, former postdoctoral fellows and students, researchers influenced by Marty’s contributions; many of whom have also been long-time friends. In addition, the workshop supported young researchers to come and present posters; this was especially important to the organizing committee as Marty has always been generous and supportive to his students/postdocs and young researchers who have crossed his path. The event was held in the lecture hall of the MBI. The intimate setting of the MBI fostered ongoing interactions between the participants and made the meeting very lively, inside as well as outside the conference room. The conference was organized …",14689367,0.438
Delayed and asynchronous neurotransmitter release,Opera Medica et Physiologica,"Electrical activity of dendritic spines in cellular microdomains in general remains unclear unresolved. The electrical current is carried by moving ions and induces a local change in the voltage, which can modulate the opening of channels and contribute to the initiation of an action potential. The ionic flow in dendritic spines is driven by the coupled electric field to the charge densities that interact through the non-cylindrical spine geometry. Due to small nanometric scale and the charge-voltage interaction, the voltage-current (IV) relation and its regulation by geometry remains difficult to investigate. I will present here our recent effort to deconvolve the response of the slow genetically encoded voltage sensor in hippocampal neurons and to compute from the electro-diffusion theory, the electric field and the ionic flows in the spine head. We resolve here the IV relation and extract the spine resistance, which is certainly insufficient to characterize the nonlinear IV interaction. Coll. R. Yuste (Columbia).","25002287, 25002295",0.372
Special Session 78: Multiple Time Scale Dynamics With a View Towards Biological Applications,Nature Immunology,"Bursting is a well known mechanism of oscillation occurring in slow/fast systems. More recently the canard phenomenon has been identified as providing a complementary route to sensitive oscillatory dynamics. This special session will cover topics related to special orbits of multiple time scale systems (bursting, canards, torus canards, MMOs) and their relation to each other. The talks will present theoretical results and their applications in life sciences (neuronal dynamics, endocrinology, epidemiology, etc).","15292908, 15292916",13.848
Epidemiological models and Lyapunov functions,Mathematical Modelling of Natural Phenomena,"We give a survey of results on global stability for deterministic compartmental epidemiological models. Using Lyapunov techniques we revisit a classical result, and give a simple proof. By the same methods we also give a new result on differential susceptibility and infectivity models with mass action and an arbitrary number of compartments. These models encompass the so-called differential infectivity and staged progression models. In the two cases we prove that if the basic reproduction ratio ≤ 1, then the disease free equilibrium is globally asymptotically stable. If > 1, there exists an unique endemic equilibrium which is asymptotically stable on the positive orthant.","09735348, 17606101",2.544
Global analysis of new malaria intrahost models with a competitive exclusion principle,SIAM Journal on Applied Mathematics,"In this paper we propose a malaria within‐host model with k classes of age for the parasitized red blood cells and n strains for the parasite. We provide a global analysis for this model. A competitive exclusion principle holds. If , the basic reproduction number, satisfies , then the disease‐free equilibrium is globally asymptotically stable. On the contrary if , then generically there is a unique endemic equilibrium which corresponds to the endemic stabilization of the most virulent parasite strain and to the extinction of all the other parasites strains. We prove that this equilibrium is globally asymptotically stable on the positive orthant if a mild sufficient condition is satisfied.","00361399, 1095712X",2.029
Multi-compartment models,Conference Publications,"We consider models with a general structure which, for example, encompasses the so-called DI, SP or DISP models with mass action incidence. We give a very simple formule for the basic reproduction ratio R0. If R0≤ 1 we prove that the disease free equilibrium is globally asymptotically stable on the nonnegative orthant. If R0> 1, we prove the existence of a unique endemic equilibrium in the positive orthant and give an explicit formula. We prove the global asymptotic stability of the endemic equilibrium, when R0> 1 for SP model.
1. Introduction. The objective of this paper is to provide a stability analysis for models with a general structure and mass action incidence. The structure can deal with various complex interactions between different classes of infectiousness. We do not consider difference in susceptibilities as it is the case for example in [10]. We also consider mass action incidence. Mass action incidence is …",-,153.0
General models of host-parasite systems. Global analysis,Discrete and Continuous Dynamical Systems-B,"We obtain global stability results for within-host models with age-class of parasitized cells and two strains of parasites. The stability is determined by the value of the basic reproduction ratio . A competitive exclusion principle holds. This means that if generically an unique equilibrium, corresponding to the extinction of one strain and the survival of the other strain, is globally asymptotically stable on the positive orthant.","10780947, 15535231",1.244
"Hopf bifurcation analysis in a delayed Leslie–Gower predator–prey model incorporating additional food for predators, refuge and threshold harvesting of preys",Nonlinear Dynamics,"In this paper, we formulate and analyze a modified Leslie–Gower predator–prey model. Our model incorporates refuge of preys, additional fixed food for predators, harvesting of preys through a continuous threshold policy and a time delay as to account for predators maturity time. We first carry out a qualitative analysis of the model without time delay, showing existence of extinction, prey-free, predator-free and coexistence equilibria. We further study their stability conditions. Relying only on theoretical results of the model, we construct bifurcation diagrams involving refuge and harvest limit parameters. This led to summarize different scenarios for the model including elimination of one species or competition of both species that are proved possible. Furthermore, considering the time delay as bifurcation parameter, we analyze the stability of the coexistence equilibria and prove the system can undergoes a Hopf …","0924090X, 1573269X",5.891
